config_number,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,mean_wape_pct,std_wape_pct,mean_mae,mean_rmse
6,700,0.05,4,5,0.9,0.9,1.0,0.0,3.08361991171709,0.33681467080600663,2932.7284117562567,3863.230658377503
5,400,0.05,4,5,0.9,0.9,1.0,0.0,3.1962779522900857,0.3099856803619269,3038.4072556177875,3988.346408251313
2,700,0.03,4,5,0.9,0.9,1.0,0.0,3.206700954901636,0.34262611515776414,3050.409903243827,4021.83394844592
8,700,0.05,6,5,0.9,0.9,1.0,0.0,3.2150521902488394,0.4103703746444193,3056.3841854666744,4077.9789957470675
4,700,0.03,6,5,0.9,0.9,1.0,0.0,3.248361224622782,0.3919296156190547,3085.734142874372,4092.628815824521
7,400,0.05,6,5,0.9,0.9,1.0,0.0,3.259467098172666,0.40967479225271053,3097.87253813486,4125.565790741418
3,400,0.03,6,5,0.9,0.9,1.0,0.0,3.3331287831886343,0.3893992656061494,3165.6068162705083,4188.134903181118
1,400,0.03,4,5,0.9,0.9,1.0,0.0,3.3865145111877992,0.3122164739752394,3218.5290493328403,4233.089125823108
