config_number,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,mean_wape_pct,std_wape_pct,mean_mae,mean_rmse
6,700,0.05,4,5,0.9,0.9,1.0,0.0,3.517379784779123,0.5078870183096221,3326.5524107187784,4405.4855656091495
8,700,0.05,6,5,0.9,0.9,1.0,0.0,3.608745345029181,0.6201720895339761,3413.2521988472618,4537.514537334638
4,700,0.03,6,5,0.9,0.9,1.0,0.0,3.6125510731225075,0.5876485289892334,3418.010185891975,4577.331800356296
2,700,0.03,4,5,0.9,0.9,1.0,0.0,3.624270959799177,0.5202130349661416,3428.3733305189617,4518.470965814473
5,400,0.05,4,5,0.9,0.9,1.0,0.0,3.629638581534761,0.4901429295630773,3434.4492475614106,4538.86376873615
7,400,0.05,6,5,0.9,0.9,1.0,0.0,3.659997719056956,0.6182856740754513,3462.7749613544456,4598.269397046313
3,400,0.03,6,5,0.9,0.9,1.0,0.0,3.709469625780093,0.5833433861095743,3511.310354501986,4692.691135478658
1,400,0.03,4,5,0.9,0.9,1.0,0.0,3.797453662299133,0.5539891353265287,3594.1750266495665,4725.366217550875
